Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link
Epic,1단계 기반 다지기,"회귀 안전망과 생성 효율을 먼저 확보한다. 이게 없으면 뒤의 기능이 얹힐 때마다 조용히 깨진다.",High,foundation,,1단계 기반 다지기,
Epic,2단계 실무 가치,"식단표 출력에서 끝나지 않고 원가와 발주까지 이어지는 운영 도구로 넓힌다.",High,ops,,2단계 실무 가치,
Epic,3단계 확장,"거래처 공유와 다지점 운영. 프로그램을 우리 PC 밖으로 내보낸다.",Medium,scale,,3단계 확장,
Story,회귀 테스트 하네스 구축,"pytest로 validate_menu / conditions.parse_text / 엑셀 서식 수치 / history 저장 왕복을 고정한다. 지금 테스트 코드가 0개인데 비즈니스 규칙은 프롬프트(SYSTEM_INSTRUCTION)와 코드(validate_menu) 두 곳에 나뉘어 있어, 한쪽만 고치면 아무도 모르게 어긋난다.",Highest,foundation;quality,5,,1단계 기반 다지기
Story,규칙 위반 부분 재생성,"지금은 위반 1건이 나와도 한 달 62줄 전체를 다시 만든다(generate_validated_menu). 위반된 날짜만 골라 다시 요청하고 나머지는 그대로 두면 토큰과 시간이 크게 줄고 통과율도 올라간다.",Highest,ai;cost,8,,1단계 기반 다지기
Story,미리보기 규칙 위반 하이라이트,"위반 목록이 팝업 글로만 떠서 표의 어느 칸이 문제인지 눈으로 못 찾는다. 위반된 셀을 빨갛게 칠하고 칸에 사유를 붙인다.",High,ux,3,,1단계 기반 다지기
Story,자동 저장과 되돌리기,"미리보기 표를 고치다 실수로 닫으면 그대로 날아간다. 편집 중 임시 저장 + Ctrl+Z 되돌리기.",High,ux,5,,1단계 기반 다지기
Story,API 키 암호화 저장,"config.json에 API 키가 평문으로 저장된다. Windows DPAPI로 암호화해 다른 사람이 파일을 열어도 못 읽게 한다.",Medium,security,3,,1단계 기반 다지기
Story,공휴일 자동 계산,"KR_HOLIDAYS_2026이 2026년만 하드코딩돼 있어 2027년이 되면 공휴일을 모른다. 공공데이터 API 또는 내장 계산으로 연도 무관하게 만든다.",Medium,data,3,,1단계 기반 다지기
Story,메뉴 단가와 원가 관리,"메뉴마다 1인 단가를 넣어 일별/월별 예상 원가를 계산하고 월 예산을 넘으면 경고한다. 생선류 월 4회 같은 제한이 사실은 단가 때문이므로 조건과도 이어진다.",High,ops;cost,8,,2단계 실무 가치
Story,주간 발주서 자동 생성,"식단표에서 주 단위 식자재 소요량을 집계해 발주서 엑셀로 뽑는다. 식단표를 짠 다음 손으로 하던 일이라 실무 시간 절감이 가장 크다.",Highest,ops,13,,2단계 실무 가치
Story,과거 데이터 기반 오프라인 편성기,"API가 막히거나 무료 한도를 넘으면 지금은 아무것도 못 만든다. 쌓인 과거 기록과 규칙만으로 로컬에서 편성하는 대체 엔진을 만든다. 기록이 충분해지면 AI 없이도 돌아간다.",High,ai;reliability,13,,2단계 실무 가치
Story,PDF 내보내기와 이미지 공유,"지금은 복사와 엑셀뿐이라 카톡으로 보내려면 사람이 캡처해야 한다. PDF와 이미지로 바로 내보낸다.",Medium,ux,5,,2단계 실무 가치
Story,잔반 인기 피드백 반영,"그날 잘 나갔는지 남았는지를 한 번의 클릭으로 기록하고, 다음 달 편성 가중치로 쓴다. 과거 기록에 결과까지 붙는 셈.",Medium,ai;ops,8,,2단계 실무 가치
Story,거래처 열람용 웹 뷰,"소방서 등 배달처가 링크로 이번 달 식단을 열어 볼 수 있게 한다. 지금은 Windows 실행파일뿐이라 공유가 파일 전달로만 된다.",Medium,scale,13,,3단계 확장
Story,다지점 다거래처 식단 분리,"거래처나 지점별로 메뉴 풀과 조건을 따로 두고 각각의 식단표를 만든다.",Low,scale,8,,3단계 확장
Story,영양 알레르기 표기,"메뉴별 알레르기 유발 재료와 대략의 영양 정보를 붙여 식단표에 표기한다. 급식성 납품에서 요구받을 수 있다.",Low,compliance,8,,3단계 확장
Story,자동 업데이트 배포,"새 버전이 나오면 프로그램이 알려주고 스스로 교체한다. 지금은 exe를 매번 새로 받아 덮어써야 한다.",Low,release,5,,3단계 확장
